,componente,ano_faixa,eixo,unidades_tematicas,objetos_conhecimento,habilidades,cod_hab,descricao_cod,primeiro_ef,segundo_ef,terceiro_ef,quarto_ef,quinto_ef,sexto_ef,setimo_ef,oitavo_ef,nono_ef
41,Língua Inglesa,7º,Eixo conhecimentos linguísticos,Estudo do léxico,Pronúncia,(EF07LI16) Reconhecer a pronúncia de verbos regulares no passado (-ed).,EF07LI16,Reconhecer a pronúncia de verbos regulares no passado (-ed).,0,0,0,0,0,0,1,0,0
42,Língua Inglesa,7º,Eixo conhecimentos linguísticos,Estudo do léxico,Polissemia,(EF07LI17) Explorar o caráter polissêmico de palavras de acordo com o contexto de uso.,EF07LI17,Explorar o caráter polissêmico de palavras de acordo com o contexto de uso.,0,0,0,0,0,0,1,0,0
43,Língua Inglesa,7º,Eixo conhecimentos linguísticos,Gramática,"Passado simples e contínuo (formas afirmativa, negativa e interrogativa)","(EF07LI18) Utilizar o passado simples e o passado contínuo para produzir textos orais e escritos, mostrando relações de sequência e causalidade.",EF07LI18,"Utilizar o passado simples e o passado contínuo para produzir textos orais e escritos, mostrando relações de sequência e causalidade.",0,0,0,0,0,0,1,0,0
44,Língua Inglesa,7º,Eixo conhecimentos linguísticos,Gramática,Pronomes do caso reto e do caso oblíquo,(EF07LI19) Discriminar sujeito de objeto utilizando pronomes a eles relacionados.,EF07LI19,Discriminar sujeito de objeto utilizando pronomes a eles relacionados.,0,0,0,0,0,0,1,0,0
45,Língua Inglesa,7º,Eixo conhecimentos linguísticos,Gramática,Verbo modal can (presente e passado),"(EF07LI20) Empregar, de forma inteligível, o verbo modal can para descrever habilidades (no presente e no passado).",EF07LI20,"Empregar, de forma inteligível, o verbo modal can para descrever habilidades (no presente e no passado).",0,0,0,0,0,0,1,0,0
46,Língua Inglesa,7º,Eixo dimensão intercultural,A língua inglesa no mundo,A língua inglesa como língua global na sociedade contemporânea,(EF07LI21) Analisar o alcance da língua inglesa e os seus contextos de uso no mundo globalizado.,EF07LI21,Analisar o alcance da língua inglesa e os seus contextos de uso no mundo globalizado.,0,0,0,0,0,0,1,0,0
47,Língua Inglesa,7º,Eixo dimensão intercultural,Comunicação intercultural,Variação linguística,"(EF07LI22) Explorar modos de falar em língua inglesa, refutando preconceitos e reconhecendo a variação linguística como fenômeno natural das línguas.",EF07LI22,"Explorar modos de falar em língua inglesa, refutando preconceitos e reconhecendo a variação linguística como fenômeno natural das línguas.",0,0,0,0,0,0,1,0,0
48,Língua Inglesa,7º,Eixo dimensão intercultural,Comunicação intercultural,Variação linguística,(EF07LI23) Reconhecer a variação linguística como manifestação de formas de pensar e expressar o mundo.,EF07LI23,Reconhecer a variação linguística como manifestação de formas de pensar e expressar o mundo.,0,0,0,0,0,0,1,0,0
49,Língua Inglesa,8º,Eixo oralidade,Interação discursiva,Negociação de sentidos (mal-entendidos no uso da língua inglesa e conflito de opiniões),"(EF08LI01) Fazer uso da língua inglesa para resolver mal-entendidos, emitir opiniões e esclarecer informações por meio de paráfrases ou justificativas.",EF08LI01,"Fazer uso da língua inglesa para resolver mal-entendidos, emitir opiniões e esclarecer informações por meio de paráfrases ou justificativas.",0,0,0,0,0,0,0,1,0
50,Língua Inglesa,8º,Eixo oralidade,Interação discursiva,Usos de recursos linguísticos e paralinguísticos no intercâmbio oral,"(EF08LI02) Explorar o uso de recursos linguísticos (frases incompletas, hesitações, entre outros) e paralinguísticos (gestos, expressões faciais, entre outros) em situações de interação oral.",EF08LI02,"Explorar o uso de recursos linguísticos (frases incompletas, hesitações, entre outros) e paralinguísticos (gestos, expressões faciais, entre outros) em situações de interação oral.",0,0,0,0,0,0,0,1,0
51,Língua Inglesa,8º,Eixo oralidade,Compreensão oral,"Compreensão de textos orais, multimodais, de cunho informativo/jornalístico","(EF08LI03) Construir o sentido global de textos orais, relacionando suas partes, o assunto principal e informações relevantes.",EF08LI03,"Construir o sentido global de textos orais, relacionando suas partes, o assunto principal e informações relevantes.",0,0,0,0,0,0,0,1,0
52,Língua Inglesa,8º,Eixo oralidade,Produção oral,Produção de textos orais com autonomia,"(EF08LI04) Utilizar recursos e repertório linguísticos apropriados para informar/comunicar/falar do futuro: planos, previsões, possibilidades e probabilidades.",EF08LI04,"Utilizar recursos e repertório linguísticos apropriados para informar/comunicar/falar do futuro: planos, previsões, possibilidades e probabilidades.",0,0,0,0,0,0,0,1,0
53,Língua Inglesa,8º,Eixo leitura,Estratégias de leitura,Construção de sentidos por meio de inferências e reconhecimento de implícitos,(EF08LI05) Inferir informações e relações que não aparecem de modo explícito no texto para construção de sentidos.,EF08LI05,Inferir informações e relações que não aparecem de modo explícito no texto para construção de sentidos.,0,0,0,0,0,0,0,1,0
54,Língua Inglesa,8º,Eixo leitura,Práticas de leitura e fruição,Leitura de textos de cunho artístico/literário,"(EF08LI06) Apreciar textos narrativos em língua inglesa (contos, romances, entre outros, em versão original ou simplificada), como forma de valorizar o patrimônio cultural produzido em língua inglesa.",EF08LI06,"Apreciar textos narrativos em língua inglesa (contos, romances, entre outros, em versão original ou simplificada), como forma de valorizar o patrimônio cultural produzido em língua inglesa.",0,0,0,0,0,0,0,1,0
55,Língua Inglesa,8º,Eixo leitura,Práticas de leitura e fruição,Leitura de textos de cunho artístico/literário,(EF08LI07) Explorar ambientes virtuais e/ou aplicativos para acessar e usufruir do patrimônio artístico literário em língua inglesa.,EF08LI07,Explorar ambientes virtuais e/ou aplicativos para acessar e usufruir do patrimônio artístico literário em língua inglesa.,0,0,0,0,0,0,0,1,0
56,Língua Inglesa,8º,Eixo leitura,Avaliação dos textos lidos,Reflexão pós-leitura,"(EF08LI08) Analisar, criticamente, o conteúdo de textos, comparando diferentes perspectivas apresentadas sobre um mesmo assunto.",EF08LI08,"Analisar, criticamente, o conteúdo de textos, comparando diferentes perspectivas apresentadas sobre um mesmo assunto.",0,0,0,0,0,0,0,1,0
57,Língua Inglesa,8º,Eixo escrita,Estratégias de escrita: escrita e pós- escrita,Revisão de textos com a mediação do professor,"(EF08LI09) Avaliar a própria produção escrita e a de colegas, com base no contexto de comunicação (finalidade e adequação ao público, conteúdo a ser comunicado, organização textual, legibilidade, estrutura de frases).",EF08LI09,"Avaliar a própria produção escrita e a de colegas, com base no contexto de comunicação (finalidade e adequação ao público, conteúdo a ser comunicado, organização textual, legibilidade, estrutura de frases).",0,0,0,0,0,0,0,1,0
58,Língua Inglesa,8º,Eixo escrita,Estratégias de escrita: escrita e pós- escrita,Revisão de textos com a mediação do professor,"(EF08LI10) Reconstruir o texto, com cortes, acréscimos, reformulações e correções, para aprimoramento, edição e publicação final.",EF08LI10,"Reconstruir o texto, com cortes, acréscimos, reformulações e correções, para aprimoramento, edição e publicação final.",0,0,0,0,0,0,0,1,0
59,Língua Inglesa,8º,Eixo escrita,Práticas de escrita,Produção de textos escritos com mediação do professor/colegas,"(EF08LI11) Produzir textos (comentários em fóruns, relatos pessoais, mensagens instantâneas, tweets, reportagens, histórias de ficção, blogues, entre outros), com o uso de estratégias de escrita (planejamento, produção de rascunho, revisão e edição final), apontando sonhos e projetos para o futuro (pessoal, da família, da comunidade ou do planeta).",EF08LI11,"Produzir textos (comentários em fóruns, relatos pessoais, mensagens instantâneas, tweets, reportagens, histórias de ficção, blogues, entre outros), com o uso de estratégias de escrita (planejamento, produção de rascunho, revisão e edição final), apontando sonhos e projetos para o futuro (pessoal, da família, da comunidade ou do planeta).",0,0,0,0,0,0,0,1,0
60,Língua Inglesa,8º,Eixo conhecimentos linguísticos,Estudo do léxico,Construção de repertório lexical,"(EF08LI12) Construir repertório lexical relativo a planos, previsões e expectativas para o futuro.",EF08LI12,"Construir repertório lexical relativo a planos, previsões e expectativas para o futuro.",0,0,0,0,0,0,0,1,0
61,Língua Inglesa,8º,Eixo conhecimentos linguísticos,Estudo do léxico,Formação de palavras: prefixos e sufixos,(EF08LI13) Reconhecer sufixos e prefixos comuns utilizados na formação de palavras em língua inglesa.,EF08LI13,Reconhecer sufixos e prefixos comuns utilizados na formação de palavras em língua inglesa.,0,0,0,0,0,0,0,1,0
62,Língua Inglesa,8º,Eixo conhecimentos linguísticos,Gramática,Verbos para indicar o futuro,(EF08LI14) Utilizar formas verbais do futuro para descrever planos e expectativas e fazer previsões.,EF08LI14,Utilizar formas verbais do futuro para descrever planos e expectativas e fazer previsões.,0,0,0,0,0,0,0,1,0
63,Língua Inglesa,8º,Eixo conhecimentos linguísticos,Gramática,Comparativos e superlativos,"(EF08LI15) Utilizar, de modo inteligível, as formas comparativas e superlativas de adjetivos para comparar qualidades e quantidades.",EF08LI15,"Utilizar, de modo inteligível, as formas comparativas e superlativas de adjetivos para comparar qualidades e quantidades.",0,0,0,0,0,0,0,1,0
64,Língua Inglesa,8º,Eixo conhecimentos linguísticos,Gramática,Quantificadores,"(EF08LI16) Utilizar, de modo inteligível, corretamente, some, any, many, much.",EF08LI16,"Utilizar, de modo inteligível, corretamente, some, any, many, much.",0,0,0,0,0,0,0,1,0
65,Língua Inglesa,8º,Eixo conhecimentos linguísticos,Gramática,Pronomes relativos,"(EF08LI17) Empregar, de modo inteligível, os pronomes relativos (who, which, that, whose) para construir períodos compostos por subordinação.",EF08LI17,"Empregar, de modo inteligível, os pronomes relativos (who, which, that, whose) para construir períodos compostos por subordinação.",0,0,0,0,0,0,0,1,0
66,Língua Inglesa,8º,Eixo dimensão intercultural,Manifestações culturais,Construção de repertório artístico-cultural,"(EF08LI18) Construir repertório cultural por meio do contato com manifestações artístico-culturais vinculadas à língua inglesa (artes plásticas e visuais, literatura, música, cinema, dança, festividades, entre outros), valorizando a diversidade entre culturas.",EF08LI18,"Construir repertório cultural por meio do contato com manifestações artístico-culturais vinculadas à língua inglesa (artes plásticas e visuais, literatura, música, cinema, dança, festividades, entre outros), valorizando a diversidade entre culturas.",0,0,0,0,0,0,0,1,0
67,Língua Inglesa,8º,Eixo dimensão intercultural,Comunicação intercultural,Impacto de aspectos culturais na comunicação,"(EF08LI19) Investigar de que forma expressões, gestos e comportamentos são interpretados em função de aspectos culturais.",EF08LI19,"Investigar de que forma expressões, gestos e comportamentos são interpretados em função de aspectos culturais.",0,0,0,0,0,0,0,1,0
68,Língua Inglesa,8º,Eixo dimensão intercultural,Comunicação intercultural,Impacto de aspectos culturais na comunicação,(EF08LI20) Examinar fatores que podem impedir o entendimento entre pessoas de culturas diferentes que falam a língua inglesa.,EF08LI20,Examinar fatores que podem impedir o entendimento entre pessoas de culturas diferentes que falam a língua inglesa.,0,0,0,0,0,0,0,1,0
69,Língua Inglesa,9º,Eixo oralidade,Interação discursiva,Funções e usos da língua inglesa: persuasão,"(EF09LI01) Fazer uso da língua inglesa para expor pontos de vista, argumentos e contra-argumentos, considerando o contexto e os recursos linguísticos voltados para a eficácia da comunicação.",EF09LI01,"Fazer uso da língua inglesa para expor pontos de vista, argumentos e contra-argumentos, considerando o contexto e os recursos linguísticos voltados para a eficácia da comunicação.",0,0,0,0,0,0,0,0,1
70,Língua Inglesa,9º,Eixo oralidade,Compreensão oral,"Compreensão de textos orais, multimodais, de cunho argumentativo",(EF09LI02) Compilar as ideias-chave de textos por meio de tomada de notas.,EF09LI02,Compilar as ideias-chave de textos por meio de tomada de notas.,0,0,0,0,0,0,0,0,1
71,Língua Inglesa,9º,Eixo oralidade,Compreensão oral,"Compreensão de textos orais, multimodais, de cunho argumentativo",(EF09LI03) Analisar posicionamentos defendidos e refutados em textos orais sobre temas de interesse social e coletivo.,EF09LI03,Analisar posicionamentos defendidos e refutados em textos orais sobre temas de interesse social e coletivo.,0,0,0,0,0,0,0,0,1
72,Língua Inglesa,9º,Eixo oralidade,Produção oral,Produção de textos orais com autonomia,"(EF09LI04) Expor resultados de pesquisa ou estudo com o apoio de recursos, tais como notas, gráficos, tabelas, entre outros, adequando as estratégias de construção do texto oral aos objetivos de comunicação e ao contexto.",EF09LI04,"Expor resultados de pesquisa ou estudo com o apoio de recursos, tais como notas, gráficos, tabelas, entre outros, adequando as estratégias de construção do texto oral aos objetivos de comunicação e ao contexto.",0,0,0,0,0,0,0,0,1
73,Língua Inglesa,9º,Eixo leitura,Estratégias de leitura,Recursos de persuasão,"(EF09LI05) Identificar recursos de persuasão (escolha e jogo de palavras, uso de cores e imagens, tamanho de letras), utilizados nos textos publicitários e de propaganda, como elementos de convencimento.",EF09LI05,"Identificar recursos de persuasão (escolha e jogo de palavras, uso de cores e imagens, tamanho de letras), utilizados nos textos publicitários e de propaganda, como elementos de convencimento.",0,0,0,0,0,0,0,0,1
74,Língua Inglesa,9º,Eixo leitura,Estratégias de leitura,Recursos de argumentação,(EF09LI06) Distinguir fatos de opiniões em textos argumentativos da esfera jornalística.,EF09LI06,Distinguir fatos de opiniões em textos argumentativos da esfera jornalística.,0,0,0,0,0,0,0,0,1
