,COMPONENTE,ANO/FAIXA,UNIDADES TEMÁTICAS,OBJETOS DE CONHECIMENTO,HABILIDADES
18,Arte,1º; 2º; 3º; 4º; 5º,Teatro,Elementos da linguagem,"(EF15AR19) Descobrir teatralidades na vida cotidiana, identificando elementos teatrais (variadas entonações de voz, diferentes fisicalidades, diversidade de personagens e narrativas etc.)."
19,Arte,1º; 2º; 3º; 4º; 5º,Teatro,Processos de criação,"(EF15AR20) Experimentar o trabalho colaborativo, coletivo e autoral em improvisações teatrais e processos narrativos criativos em teatro, explorando desde a teatralidade dos gestos e das ações do cotidiano até elementos de diferentes matrizes estéticas e culturais."
20,Arte,1º; 2º; 3º; 4º; 5º,Teatro,Processos de criação,"(EF15AR21) Exercitar a imitação e o faz de conta, ressignificando objetos e fatos e experimentando-se no lugar do outro, ao compor e encenar acontecimentos cênicos, por meio de músicas, imagens, textos ou outros pontos de partida, de forma intencional e reflexiva."
21,Arte,1º; 2º; 3º; 4º; 5º,Teatro,Processos de criação,"(EF15AR22) Experimentar possibilidades criativas de movimento e de voz na criação de um personagem teatral, discutindo estereótipos."
22,Arte,1º; 2º; 3º; 4º; 5º,Artes integradas,Processos de criação,"(EF15AR23) Reconhecer e experimentar, em projetos temáticos, as relações processuais entre diversas linguagens artísticas."
23,Arte,1º; 2º; 3º; 4º; 5º,Artes integradas,Matrizes estéticas e culturais,"(EF15AR24) Caracterizar e experimentar brinquedos, brincadeiras, jogos, danças, canções e histórias de diferentes matrizes estéticas e culturais."
24,Arte,1º; 2º; 3º; 4º; 5º,Artes integradas,Patrimônio cultural,"(EF15AR25) Conhecer e valorizar o patrimônio cultural, material e imaterial, de culturas diversas, em especial a brasileira, incluindo-se suas matrizes indígenas, africanas e europeias, de diferentes épocas, favorecendo a construção de vocabulário e repertório relativos às diferentes linguagens artísticas."
25,Arte,1º; 2º; 3º; 4º; 5º,Artes integradas,Arte e tecnologia,"(EF15AR26) Explorar diferentes tecnologias e recursos digitais (multimeios, animações, jogos eletrônicos, gravações em áudio e vídeo, fotografia, softwares etc.) nos processos de criação artística."
26,Arte,6º; 7º; 8º; 9º,Artes visuais,Contextos e práticas,"(EF69AR01) Pesquisar, apreciar e analisar formas distintas das artes visuais tradicionais e contemporâneas, em obras de artistas brasileiros e estrangeiros de diferentes épocas e em diferentes matrizes estéticas e culturais, de modo a ampliar a experiência com diferentes contextos e práticas artístico-visuais e cultivar a percepção, o imaginário, a capacidade de simbolizar e o repertório imagético."
27,Arte,6º; 7º; 8º; 9º,Artes visuais,Contextos e práticas,"(EF69AR02) Pesquisar e analisar diferentes estilos visuais, contextualizando-os no tempo e no espaço."
28,Arte,6º; 7º; 8º; 9º,Artes visuais,Contextos e práticas,"(EF69AR03) Analisar situações nas quais as linguagens das artes visuais se integram às linguagens audiovisuais (cinema, animações, vídeos etc.), gráficas (capas de livros, ilustrações de textos diversos etc.), cenográficas, coreográficas, musicais etc."
29,Arte,6º; 7º; 8º; 9º,Artes visuais,Elementos da linguagem,"(EF69AR04) Analisar os elementos constitutivos das artes visuais (ponto, linha, forma, direção, cor, tom, escala, dimensão, espaço, movimento etc.) na apreciação de diferentes produções artísticas."
30,Arte,6º; 7º; 8º; 9º,Artes visuais,Materialidades,"(EF69AR05) Experimentar e analisar diferentes formas de expressão artística (desenho, pintura, colagem, quadrinhos, dobradura, escultura, modelagem, instalação, vídeo, fotografia, performance etc.)."
31,Arte,6º; 7º; 8º; 9º,Artes visuais,Processos de criação,"(EF69AR06) Desenvolver processos de criação em artes visuais, com base em temas ou interesses artísticos, de modo individual, coletivo e colaborativo, fazendo uso de materiais, instrumentos e recursos convencionais, alternativos e digitais."
32,Arte,6º; 7º; 8º; 9º,Artes visuais,Processos de criação,"(EF69AR07) Dialogar com princípios conceituais, proposições temáticas, repertórios imagéticos e processos de criação nas suas produções visuais."
33,Arte,6º; 7º; 8º; 9º,Artes visuais,Sistemas da linguagem,"(EF69AR08) Diferenciar as categorias de artista, artesão, produtor cultural, curador, designer, entre outras, estabelecendo relações entre os profissionais do sistema das artes visuais."
34,Arte,6º; 7º; 8º; 9º,Dança,Contextos e práticas,"(EF69AR09) Pesquisar e analisar diferentes formas de expressão, representação e encenação da dança, reconhecendo e apreciando composições de dança de artistas e grupos brasileiros e estrangeiros de diferentes épocas."
35,Arte,6º; 7º; 8º; 9º,Dança,Elementos da linguagem,"(EF69AR10) Explorar elementos constitutivos do movimento cotidiano e do movimento dançado, abordando, criticamente, o desenvolvimento das formas da dança em sua história tradicional e contemporânea."
36,Arte,6º; 7º; 8º; 9º,Dança,Elementos da linguagem,"(EF69AR11) Experimentar e analisar os fatores de movimento (tempo, peso, fluência e espaço) como elementos que, combinados, geram as ações corporais e o movimento dançado."
37,Arte,6º; 7º; 8º; 9º,Dança,Processos de criação,(EF69AR12) Investigar e experimentar procedimentos de improvisação e criação do movimento como fonte para a construção de vocabulários e repertórios próprios.
38,Arte,6º; 7º; 8º; 9º,Dança,Processos de criação,"(EF69AR13) Investigar brincadeiras, jogos, danças coletivas e outras práticas de dança de diferentes matrizes estéticas e culturais como referência para a criação e a composição de danças autorais, individualmente e em grupo."
39,Arte,6º; 7º; 8º; 9º,Dança,Processos de criação,"(EF69AR14) Analisar e experimentar diferentes elementos (figurino, iluminação, cenário, trilha sonora etc.) e espaços (convencionais e não convencionais) para composição cênica e apresentação coreográfica."
40,Arte,6º; 7º; 8º; 9º,Dança,Processos de criação,"(EF69AR15) Discutir as experiências pessoais e coletivas em dança vivenciadas na escola e em outros contextos, problematizando estereótipos e preconceitos."
41,Arte,6º; 7º; 8º; 9º,Música,Contextos e práticas,"(EF69AR16) Analisar criticamente, por meio da apreciação musical, usos e funções da música em seus contextos de produção e circulação, relacionando as práticas musicais às diferentes dimensões da vida social, cultural, política, histórica, econômica, estética e ética"
42,Arte,6º; 7º; 8º; 9º,Música,Contextos e práticas,"(EF69AR17) Explorar e analisar, criticamente, diferentes meios e equipamentos culturais de circulação da música e do conhecimento musical."
43,Arte,6º; 7º; 8º; 9º,Música,Contextos e práticas,(EF69AR18) Reconhecer e apreciar o papel de músicos e grupos de música brasileiros e estrangeiros que contribuíram para o desenvolvimento de formas e gêneros musicais.
44,Arte,6º; 7º; 8º; 9º,Música,Contextos e práticas,"(EF69AR19) Identificar e analisar diferentes estilos musicais, contextualizando-os no tempo e no espaço, de modo a aprimorar a capacidade de apreciação da estética musical."
45,Arte,6º; 7º; 8º; 9º,Música,Elementos da linguagem,"(EF69AR20) Explorar e analisar elementos constitutivos da música (altura, intensidade, timbre, melodia, ritmo etc.), por meio de recursos tecnológicos (games e plataformas digitais), jogos, canções e práticas diversas de composição/criação, execução e apreciação musicais."
46,Arte,6º; 7º; 8º; 9º,Música,Materialidades,"(EF69AR21) Explorar e analisar fontes e materiais sonoros em práticas de composição/criação, execução e apreciação musical, reconhecendo timbres e características de instrumentos musicais diversos."
47,Arte,6º; 7º; 8º; 9º,Música,Notação e registro musical,"(EF69AR22) Explorar e identificar diferentes formas de registro musical (notação musical tradicional, partituras criativas e procedimentos da música contemporânea), bem como procedimentos e técnicas de registro em áudio e audiovisual."
48,Arte,6º; 7º; 8º; 9º,Música,Processos de criação,"(EF69AR23) Explorar e criar improvisações, composições, arranjos, jingles, trilhas sonoras, entre outros, utilizando vozes, sons corporais e/ou instrumentos acústicos ou eletrônicos, convencionais ou não convencionais, expressando ideias musicais de maneira individual, coletiva e colaborativa."
49,Arte,6º; 7º; 8º; 9º,Teatro,Contextos e práticas,"(EF69AR24) Reconhecer e apreciar artistas e grupos de teatro brasileiros e estrangeiros de diferentes épocas, investigando os modos de criação, produção, divulgação, circulação e organização da atuação profissional em teatro."
50,Arte,6º; 7º; 8º; 9º,Teatro,Contextos e práticas,"(EF69AR25) Identificar e analisar diferentes estilos cênicos, contextualizando-os no tempo e no espaço de modo a aprimorar a capacidade de apreciação da estética teatral."
51,Arte,6º; 7º; 8º; 9º,Teatro,Elementos da linguagem,"(EF69AR26) Explorar diferentes elementos envolvidos na composição dos acontecimentos cênicos (figurinos, adereços, cenário, iluminação e sonoplastia) e reconhecer seus vocabulários."
52,Arte,6º; 7º; 8º; 9º,Teatro,Processos de criação,"(EF69AR27) Pesquisar e criar formas de dramaturgias e espaços cênicos para o acontecimento teatral, em diálogo com o teatro contemporâneo."
53,Arte,6º; 7º; 8º; 9º,Teatro,Processos de criação,(EF69AR28) Investigar e experimentar diferentes funções teatrais e discutir os limites e desafios do trabalho artístico coletivo e colaborativo.
54,Arte,6º; 7º; 8º; 9º,Teatro,Processos de criação,(EF69AR29) Experimentar a gestualidade e as construções corporais e vocais de maneira imaginativa na improvisação teatral e no jogo cênico.
55,Arte,6º; 7º; 8º; 9º,Teatro,Processos de criação,"(EF69AR30) Compor improvisações e acontecimentos cênicos com base em textos dramáticos ou outros estímulos (música, imagens, objetos etc.), caracterizando personagens (com figurinos e adereços), cenário, iluminação e sonoplastia e considerando a relação com o espectador."
56,Arte,6º; 7º; 8º; 9º,Artes integradas,Contextos e práticas,"(EF69AR31) Relacionar as práticas artísticas às diferentes dimensões da vida social, cultural, política, histórica, econômica, estética e ética."
57,Arte,6º; 7º; 8º; 9º,Artes integradas,Processos de criação,"(EF69AR32) Analisar e explorar, em projetos temáticos, as relações processuais entre diversas linguagens artísticas."
58,Arte,6º; 7º; 8º; 9º,Artes integradas,Matrizes estéticas e culturais,"(EF69AR33) Analisar aspectos históricos, sociais e políticos da produção artística, problematizando as narrativas eurocêntricas e as diversas categorizações da arte (arte, artesanato, folclore, design etc.)."
59,Arte,6º; 7º; 8º; 9º,Artes integradas,Patrimônio cultural,"(EF69AR34) Analisar e valorizar o patrimônio cultural, material e imaterial, de culturas diversas, em especial a brasileira, incluindo suas matrizes indígenas, africanas e europeias, de diferentes épocas, e favorecendo a construção de vocabulário e repertório relativos às diferentes linguagens artísticas."
60,Arte,6º; 7º; 8º; 9º,Artes integradas,Arte e tecnologia,"(EF69AR35) Identificar e manipular diferentes tecnologias e recursos digitais para acessar, apreciar, produzir, registrar e compartilhar práticas e repertórios artísticos, de modo reflexivo, ético e responsável."
0,Ciências,1º,Matéria e energia,Características dos materiais,"(EF01CI01) Comparar características de diferentes materiais presentes em objetos de uso cotidiano, discutindo sua origem, os modos como são descartados e como podem ser usados de forma mais consciente."
1,Ciências,1º,Vida e evolução,"Corpo humano
Respeito à diversidade","(EF01CI02) Localizar, nomear e representar graficamente (por meio de desenhos) partes do corpo humano e explicar suas funções."
2,Ciências,1º,Vida e evolução,"Corpo humano
Respeito à diversidade","(EF01CI03) Discutir as razões pelas quais os hábitos de higiene do corpo (lavar as mãos antes de comer, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) são necessários para a manutenção da saúde."
3,Ciências,1º,Vida e evolução,"Corpo humano
Respeito à diversidade","(EF01CI04) Comparar características físicas entre os colegas, reconhecendo a diversidade e a importância da valorização, do acolhimento e do respeito às diferenças."
4,Ciências,1º,Terra e Universo,Escalas de tempo,"(EF01CI05) Identificar e nomear diferentes escalas de tempo: os períodos diários (manhã, tarde, noite) e a sucessão de dias, semanas, meses e anos."
5,Ciências,1º,Terra e Universo,Escalas de tempo,(EF01CI06) Selecionar exemplos de como a sucessão de dias e noites orienta o ritmo de atividades diárias de seres humanos e de outros seres vivos.
6,Ciências,2º,Matéria e energia,"Propriedades e usos dos materiais
Prevenção de acidentes domésticos","(EF02CI01) Identificar de que materiais (metais, madeira, vidro etc.) são feitos os objetos que fazem parte da vida cotidiana, como esses objetos são utilizados e com quais materiais eram produzidos no passado."
7,Ciências,2º,Matéria e energia,"Propriedades e usos dos materiais
Prevenção de acidentes domésticos","(EF02CI02) Propor o uso de diferentes materiais para a construção de objetos de uso cotidiano, tendo em vista algumas propriedades desses materiais (flexibilidade, dureza, transparência etc.)."
8,Ciências,2º,Matéria e energia,"Propriedades e usos dos materiais
Prevenção de acidentes domésticos","(EF02CI03) Discutir os cuidados necessários à prevenção de acidentes domésticos (objetos cortantes e inflamáveis, eletricidade, produtos de limpeza, medicamentos etc.)."
9,Ciências,2º,Vida e evolução,"Seres vivos no ambiente
Plantas","(EF02CI04) Descrever características de plantas e animais (tamanho, forma, cor, fase da vida, local onde se desenvolvem etc.) que fazem parte de seu cotidiano e relacioná-las ao ambiente em que eles vivem."
10,Ciências,2º,Vida e evolução,"Seres vivos no ambiente
Plantas",(EF02CI05) Investigar a importância da água e da luz para a manutenção da vida de plantas em geral.
11,Ciências,2º,Vida e evolução,"Seres vivos no ambiente
Plantas","(EF02CI06) Identificar as principais partes de uma planta (raiz, caule, folhas, flores e frutos) e a função desempenhada por cada uma delas, e analisar as relações entre as plantas, o ambiente e os demais seres vivos."
12,Ciências,2º,Terra e Universo,"Movimento aparente do Sol no céu
O Sol como fonte de luz e calor",(EF02CI07) Descrever as posições do Sol em diversos horários do dia e associá-las ao tamanho da sombra projetada.
13,Ciências,2º,Terra e Universo,"Movimento aparente do Sol no céu
O Sol como fonte de luz e calor","(EF02CI08) Comparar o efeito da radiação solar (aquecimento e reflexão) em diferentes tipos de superfície (água, areia, solo, superfícies escura, clara e metálica etc.)."
14,Ciências,3º,Matéria e energia,"Produção de som
Efeitos da luz nos materiais
Saúde auditiva e visual",(EF03CI01) Produzir diferentes sons a partir da vibração de variados objetos e identificar variáveis que influem nesse fenômeno.
15,Ciências,3º,Matéria e energia,"Produção de som
Efeitos da luz nos materiais
Saúde auditiva e visual","(EF03CI02) Experimentar e relatar o que ocorre com a passagem da luz através de objetos transparentes (copos, janelas de vidro, lentes, prismas, água etc.), no contato com superfícies polidas (espelhos) e na intersecção com objetos opacos (paredes, pratos, pessoas e outros objetos de uso cotidiano)."
16,Ciências,3º,Matéria e energia,"Produção de som
Efeitos da luz nos materiais
Saúde auditiva e visual",(EF03CI03) Discutir hábitos necessários para a manutenção da saúde auditiva e visual considerando as condições do ambiente em termos de som e luz.
17,Ciências,3º,Vida e evolução,Características e desenvolvimento dos animais,"(EF03CI04) Identificar características sobre o modo de vida (o que comem, como se reproduzem, como se deslocam etc.) dos animais mais comuns no ambiente próximo."
18,Ciências,3º,Vida e evolução,Características e desenvolvimento dos animais,"(EF03CI05) Descrever e comunicar as alterações que ocorrem desde o nascimento em animais de diferentes meios terrestres ou aquáticos, inclusive o homem."
19,Ciências,3º,Vida e evolução,Características e desenvolvimento dos animais,"(EF03CI06) Comparar alguns animais e organizar grupos com base em características externas comuns (presença de penas, pelos, escamas, bico, garras, antenas, patas etc.)."
20,Ciências,3º,Terra e Universo,"Características da Terra
Observação do céu
Usos do solo","(EF03CI07) Identificar características da Terra (como seu formato esférico, a presença de água, solo etc.), com base na observação, manipulação e comparação de diferentes formas de representação do planeta (mapas, globos, fotografias etc.)."
21,Ciências,3º,Terra e Universo,"Características da Terra
Observação do céu
Usos do solo","(EF03CI08) Observar, identificar e registrar os períodos diários (dia e/ou noite) em que o Sol, demais estrelas, Lua e planetas estão visíveis no céu."
22,Ciências,3º,Terra e Universo,"Características da Terra
Observação do céu
Usos do solo","(EF03CI09) Comparar diferentes amostras de solo do entorno da escola com base em características como cor, textura, cheiro, tamanho das partículas, permeabilidade etc."
23,Ciências,3º,Terra e Universo,"Características da Terra
Observação do céu
Usos do solo","(EF03CI10) Identificar os diferentes usos do solo (plantação e extração de materiais, dentre outras possibilidades), reconhecendo a importância do solo para a agricultura e para a vida."
24,Ciências,4º,Matéria e energia,"Misturas
Transformações reversíveis e não reversíveis","(EF04CI01) Identificar misturas na vida diária, com base em suas propriedades físicas observáveis, reconhecendo sua composição."
25,Ciências,4º,Matéria e energia,"Misturas
Transformações reversíveis e não reversíveis","(EF04CI02) Testar e relatar transformações nos materiais do dia a dia quando expostos a diferentes condições (aquecimento, resfriamento, luz e umidade)."
26,Ciências,4º,Matéria e energia,"Misturas
Transformações reversíveis e não reversíveis","(EF04CI03) Concluir que algumas mudanças causadas por aquecimento ou resfriamento são reversíveis (como as mudanças de estado físico da água) e outras não (como o cozimento do ovo, a queima do papel etc.)."
27,Ciências,4º,Vida e evolução,"Cadeias alimentares simples
Microrganismos","(EF04CI04) Analisar e construir cadeias alimentares simples, reconhecendo a posição ocupada pelos seres vivos nessas cadeias e o papel do Sol como fonte primária de energia na produção de alimentos."
28,Ciências,4º,Vida e evolução,"Cadeias alimentares simples
Microrganismos",(EF04CI05) Descrever e destacar semelhanças e diferenças entre o ciclo da matéria e o fluxo de energia entre os componentes vivos e não vivos de um ecossistema.
29,Ciências,4º,Vida e evolução,"Cadeias alimentares simples
Microrganismos","(EF04CI06) Relacionar a participação de fungos e bactérias no processo de decomposição, reconhecendo a importância ambiental desse processo."
30,Ciências,4º,Vida e evolução,"Cadeias alimentares simples
Microrganismos","(EF04CI07) Verificar a participação de microrganismos na produção de alimentos, combustíveis, medicamentos, entre outros."
31,Ciências,4º,Vida e evolução,"Cadeias alimentares simples
Microrganismos","(EF04CI08) Propor, a partir do conhecimento das formas de transmissão de alguns microrganismos (vírus, bactérias e protozoários), atitudes e medidas adequadas para prevenção de doenças a eles associadas."
32,Ciências,4º,Terra e Universo,"Pontos cardeais
Calendários, fenômenos cíclicos e cultura","(EF04CI09) Identificar os pontos cardeais, com base no registro de diferentes posições relativas do Sol e da sombra de uma vara (gnômon)."
33,Ciências,4º,Terra e Universo,"Pontos cardeais
Calendários, fenômenos cíclicos e cultura",(EF04CI10) Comparar as indicações dos pontos cardeais resultantes da observação das sombras de uma vara (gnômon) com aquelas obtidas por meio de uma bússola.
34,Ciências,4º,Terra e Universo,"Pontos cardeais
Calendários, fenômenos cíclicos e cultura",(EF04CI11) Associar os movimentos cíclicos da Lua e da Terra a períodos de tempo regulares e ao uso desse conhecimento para a construção de calendários em diferentes culturas.
35,Ciências,5º,Matéria e energia,"Propriedades físicas dos materiais
Ciclo hidrológico
Consumo consciente
 Reciclagem","(EF05CI01) Explorar fenômenos da vida cotidiana que evidenciem propriedades físicas dos materiais – como densidade, condutibilidade térmica e elétrica, respostas a forças magnéticas, solubilidade, respostas a forças mecânicas (dureza, elasticidade etc.), entre outras."
36,Ciências,5º,Matéria e energia,"Propriedades físicas dos materiais
Ciclo hidrológico
Consumo consciente
 Reciclagem","(EF05CI02) Aplicar os conhecimentos sobre as mudanças de estado físico da água para explicar o ciclo hidrológico e analisar suas implicações na agricultura, no clima, na geração de energia elétrica, no provimento de água potável e no equilíbrio dos ecossistemas regionais (ou locais)."
37,Ciências,5º,Matéria e energia,"Propriedades físicas dos materiais
Ciclo hidrológico
Consumo consciente
 Reciclagem","(EF05CI03) Selecionar argumentos que justifiquem a importância da cobertura vegetal para a manutenção do ciclo da água, a conservação dos solos, dos cursos de água e da qualidade do ar atmosférico."
38,Ciências,5º,Matéria e energia,"Propriedades físicas dos materiais
Ciclo hidrológico
Consumo consciente
 Reciclagem",(EF05CI04) Identificar os principais usos da água e de outros materiais nas atividades cotidianas para discutir e propor formas sustentáveis de utilização desses recursos.
39,Ciências,5º,Matéria e energia,"Propriedades físicas dos materiais
Ciclo hidrológico
Consumo consciente
 Reciclagem",(EF05CI05) Construir propostas coletivas para um consumo mais consciente e criar soluções tecnológicas para o descarte adequado e a reutilização ou reciclagem de materiais consumidos na escola e/ou na vida cotidiana.
40,Ciências,5º,Vida e evolução,"Nutrição do organismo
Hábitos alimentares
Integração entre os sistemas digestório, respiratório e circulatório","(EF05CI06) Selecionar argumentos que justifiquem por que os sistemas digestório e respiratório são considerados corresponsáveis pelo processo de nutrição do organismo, com base na identificação das funções desses sistemas."
41,Ciências,5º,Vida e evolução,"Nutrição do organismo
Hábitos alimentares
Integração entre os sistemas digestório, respiratório e circulatório","(EF05CI07) Justificar a relação entre o funcionamento do sistema circulatório, a distribuição dos nutrientes pelo organismo e a eliminação dos resíduos produzidos."
42,Ciências,5º,Vida e evolução,"Nutrição do organismo
Hábitos alimentares
Integração entre os sistemas digestório, respiratório e circulatório","(EF05CI08) Organizar um cardápio equilibrado com base nas características dos grupos alimentares (nutrientes e calorias) e nas necessidades individuais (atividades realizadas, idade, sexo etc.) para a manutenção da saúde do organismo."
43,Ciências,5º,Vida e evolução,"Nutrição do organismo
Hábitos alimentares
Integração entre os sistemas digestório, respiratório e circulatório","(EF05CI09) Discutir a ocorrência de distúrbios nutricionais (como obesidade, subnutrição etc.) entre crianças e jovens a partir da análise de seus hábitos (tipos e quantidade de alimento ingerido, prática de atividade física etc.)."
44,Ciências,5º,Terra e Universo,"Constelações e mapas celestes
Movimento de rotação da Terra
Periodicidade das fases da Lua
Instrumentos óticos","(EF05CI10) Identificar algumas constelações no céu, com o apoio de recursos (como mapas celestes e aplicativos digitais, entre outros), e os períodos do ano em que elas são visíveis no início da noite."
45,Ciências,5º,Terra e Universo,"Constelações e mapas celestes
Movimento de rotação da Terra
Periodicidade das fases da Lua
Instrumentos óticos",(EF05CI11) Associar o movimento diário do Sol e das demais estrelas no céu ao movimento de rotação da Terra.
46,Ciências,5º,Terra e Universo,"Constelações e mapas celestes
Movimento de rotação da Terra
Periodicidade das fases da Lua
Instrumentos óticos","(EF05CI12) Concluir sobre a periodicidade das fases da Lua, com base na observação e no registro das formas aparentes da Lua no céu ao longo de, pelo menos, dois meses."
47,Ciências,5º,Terra e Universo,"Constelações e mapas celestes
Movimento de rotação da Terra
Periodicidade das fases da Lua
Instrumentos óticos","(EF05CI13) Projetar e construir dispositivos para observação à distância (luneta, periscópio etc.), para observação ampliada de objetos (lupas, microscópios) ou para registro de imagens (máquinas fotográficas) e discutir usos sociais desses dispositivos."
48,Ciências,6º,Matéria e energia,"Misturas homogêneas e heterogêneas
Separação de materiais
Materiais sintéticos
Transformações químicas","(EF06CI01) Classificar como homogênea ou heterogênea a mistura de dois ou mais materiais (água e sal, água e óleo, água e areia etc.)."
49,Ciências,6º,Matéria e energia,"Misturas homogêneas e heterogêneas
Separação de materiais
Materiais sintéticos
Transformações químicas","(EF06CI02) Identificar evidências de transformações químicas a partir do resultado de misturas de materiais que originam produtos diferentes dos que foram misturados (mistura de ingredientes para fazer um bolo, mistura de vinagre com bicarbonato de sódio etc.)."
50,Ciências,6º,Matéria e energia,"Misturas homogêneas e heterogêneas
Separação de materiais
Materiais sintéticos
Transformações químicas","(EF06CI03) Selecionar métodos mais adequados para a separação de diferentes sistemas heterogêneos a partir da identificação de processos de separação de materiais (como a produção de sal de cozinha, a destilação de petróleo, entre outros)."
51,Ciências,6º,Matéria e energia,"Misturas homogêneas e heterogêneas
Separação de materiais
Materiais sintéticos
Transformações químicas","(EF06CI04) Associar a produção de medicamentos e outros materiais sintéticos ao desenvolvimento científico e tecnológico, reconhecendo benefícios e avaliando impactos socioambientais."
52,Ciências,6º,Vida e evolução,"Célula como unidade da vida
Interação entre os sistemas locomotor e nervoso
Lentes corretivas",(EF06CI05) Explicar a organização básica das células e seu papel como unidade estrutural e funcional dos seres vivos.
53,Ciências,6º,Vida e evolução,"Célula como unidade da vida
Interação entre os sistemas locomotor e nervoso
Lentes corretivas","(EF06CI06) Concluir, com base na análise de ilustrações e/ou modelos (físicos ou digitais), que os organismos são um complexo arranjo de sistemas com diferentes níveis de organização."
54,Ciências,6º,Vida e evolução,"Célula como unidade da vida
Interação entre os sistemas locomotor e nervoso
Lentes corretivas","(EF06CI07) Justificar o papel do sistema nervoso na coordenação das ações motoras e sensoriais do corpo, com base na análise de suas estruturas básicas e respectivas funções."
