,campo_exp,faixa_etaria,obj,cod_apr,descricao_cod,idade_anos_inicial,idade_meses_inicial,idade_anos_final,idade_meses_final
11,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET04) 
Registrar observações, manipulações e medidas, usando múltiplas linguagens (desenho, registro por números ou escrita espontânea), em diferentes suportes.",EI03ET04,"Registrar observações, manipulações e medidas, usando múltiplas linguagens (desenho, registro por números ou escrita espontânea), em diferentes suportes.",4,,5,11
12,"Espaços, tempos, quantidades, relações e transformações",Bebês (0 a 1 ano e 6 meses),"(EI01ET05) 
Manipular materiais diversos e variados para comparar as diferenças e semelhanças entre eles.",EI01ET05,Manipular materiais diversos e variados para comparar as diferenças e semelhanças entre eles.,0,,1,6
13,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET05) 
Classificar objetos, considerando determinado atributo (tamanho, peso, cor, forma etc.).",EI02ET05,"Classificar objetos, considerando determinado atributo (tamanho, peso, cor, forma etc.).",1,7,3,11
14,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET05) 
Classificar objetos e figuras de acordo com suas semelhanças e diferenças.",EI03ET05,Classificar objetos e figuras de acordo com suas semelhanças e diferenças.,4,,5,11
15,"Espaços, tempos, quantidades, relações e transformações",Bebês (0 a 1 ano e 6 meses),"(EI01ET06) 
Vivenciar diferentes ritmos, velocidades e fluxos nas interações e brincadeiras (em danças, balanços, escorregadores etc.).",EI01ET06,"Vivenciar diferentes ritmos, velocidades e fluxos nas interações e brincadeiras (em danças, balanços, escorregadores etc.).",0,,1,6
16,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET06) 
Utilizar conceitos básicos de tempo (agora, antes, durante, depois, ontem, hoje, amanhã, lento, rápido, depressa, devagar).",EI02ET06,"Utilizar conceitos básicos de tempo (agora, antes, durante, depois, ontem, hoje, amanhã, lento, rápido, depressa, devagar).",1,7,3,11
17,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET06) 
Relatar fatos importantes sobre seu nascimento e desenvolvimento, a história dos seus familiares e da sua comunidade.",EI03ET06,"Relatar fatos importantes sobre seu nascimento e desenvolvimento, a história dos seus familiares e da sua comunidade.",4,,5,11
18,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET07) 
Contar oralmente objetos, pessoas, livros etc., em contextos diversos.",EI02ET07,"Contar oralmente objetos, pessoas, livros etc., em contextos diversos.",1,7,3,11
19,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET07) 
Relacionar números às suas respectivas quantidades e identificar o antes, o depois e o entre em uma sequência.",EI03ET07,"Relacionar números às suas respectivas quantidades e identificar o antes, o depois e o entre em uma sequência.",4,,5,11
20,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET08) 
Registrar com números a quantidade de crianças (meninas e meninos, presentes e ausentes) e a quantidade de objetos da mesma natureza (bonecas, bolas, livros etc.).",EI02ET08,"Registrar com números a quantidade de crianças (meninas e meninos, presentes e ausentes) e a quantidade de objetos da mesma natureza (bonecas, bolas, livros etc.).",1,7,3,11
21,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET08) 
Expressar medidas (peso, altura etc.), construindo gráficos básicos.",EI03ET08,"Expressar medidas (peso, altura etc.), construindo gráficos básicos.",4,,5,11
