,campo_exp,faixa_etaria,obj,cod_apr,descricao_cod,idade_anos_inicial,idade_meses_inicial,idade_anos_final,idade_meses_final
10,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),"(EI01EF04) 
Reconhecer elementos das ilustrações de histórias, apontando-os, a pedido do adulto-leitor.",EI01EF04,"Reconhecer elementos das ilustrações de histórias, apontando-os, a pedido do adulto-leitor.",0,,1,6
11,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EF04) 
Formular e responder perguntas sobre fatos da história narrada, identificando cenários, personagens e principais acontecimentos.",EI02EF04,"Formular e responder perguntas sobre fatos da história narrada, identificando cenários, personagens e principais acontecimentos.",1,7,3,11
12,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF04) 
Recontar histórias ouvidas e planejar coletivamente roteiros de vídeos e de encenações, definindo os contextos, os personagens, a estrutura da história.",EI03EF04,"Recontar histórias ouvidas e planejar coletivamente roteiros de vídeos e de encenações, definindo os contextos, os personagens, a estrutura da história.",4,,5,11
13,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),"(EI01EF05) 
Imitar as variações de entonação e gestos realizados pelos adultos, ao ler histórias e ao cantar.",EI01EF05,"Imitar as variações de entonação e gestos realizados pelos adultos, ao ler histórias e ao cantar.",0,,1,6
14,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF05) 
Recontar histórias ouvidas para produção de reconto escrito, tendo o professor como escriba.",EI03EF05,"Recontar histórias ouvidas para produção de reconto escrito, tendo o professor como escriba.",4,,5,11
15,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),"(EI01EF06) 
Comunicar-se com outras pessoas usando movimentos, gestos, balbucios, fala e outras formas de expressão.",EI01EF06,"Comunicar-se com outras pessoas usando movimentos, gestos, balbucios, fala e outras formas de expressão.",0,,1,6
16,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EF06) 
Criar e contar histórias oralmente, com base em imagens ou temas sugeridos.",EI02EF06,"Criar e contar histórias oralmente, com base em imagens ou temas sugeridos.",1,7,3,11
17,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF06) 
Produzir suas próprias histórias orais e escritas (escrita espontânea), em situações com função social significativa.",EI03EF06,"Produzir suas próprias histórias orais e escritas (escrita espontânea), em situações com função social significativa.",4,,5,11
18,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EF08) 
Manipular textos e participar de situações de escuta para ampliar seu contato com diferentes gêneros textuais (parlendas, histórias de aventura, tirinhas, cartazes de sala, cardápios, notícias etc.).",EI02EF08,"Manipular textos e participar de situações de escuta para ampliar seu contato com diferentes gêneros textuais (parlendas, histórias de aventura, tirinhas, cartazes de sala, cardápios, notícias etc.).",1,7,3,11
19,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),"(EI01EF07) 
Conhecer e manipular materiais impressos e audiovisuais em diferentes portadores (livro, revista, gibi, jornal, cartaz, CD, tablet etc.).",EI01EF07,"Conhecer e manipular materiais impressos e audiovisuais em diferentes portadores (livro, revista, gibi, jornal, cartaz, CD, tablet etc.).",0,,1,6
20,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EF07) 
Manusear diferentes portadores textuais, demonstrando reconhecer seus usos sociais.",EI02EF07,"Manusear diferentes portadores textuais, demonstrando reconhecer seus usos sociais.",1,7,3,11
21,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF07) 
Levantar hipóteses sobre gêneros textuais veiculados em portadores conhecidos, recorrendo a estratégias de observação gráfica e/ou de leitura.",EI03EF07,"Levantar hipóteses sobre gêneros textuais veiculados em portadores conhecidos, recorrendo a estratégias de observação gráfica e/ou de leitura.",4,,5,11
22,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),"(EI01EF08) 
Participar de situações de escuta de textos em diferentes gêneros textuais (poemas, fábulas, contos, receitas, quadrinhos, anúncios etc.).",EI01EF08,"Participar de situações de escuta de textos em diferentes gêneros textuais (poemas, fábulas, contos, receitas, quadrinhos, anúncios etc.).",0,,1,6
23,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF08) 
Selecionar livros e textos de gêneros conhecidos para a leitura de um adulto e/ou para sua própria leitura (partindo de seu repertório sobre esses textos, como a recuperação pela memória, pela leitura das ilustrações etc.).",EI03EF08,"Selecionar livros e textos de gêneros conhecidos para a leitura de um adulto e/ou para sua própria leitura (partindo de seu repertório sobre esses textos, como a recuperação pela memória, pela leitura das ilustrações etc.).",4,,5,11
24,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),"(EI01EF09) 
Conhecer e manipular diferentes instrumentos e suportes de escrita.",EI01EF09,Conhecer e manipular diferentes instrumentos e suportes de escrita.,0,,1,6
25,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EF09) 
Manusear diferentes instrumentos e suportes de escrita para desenhar, traçar letras e outros sinais gráficos.",EI02EF09,"Manusear diferentes instrumentos e suportes de escrita para desenhar, traçar letras e outros sinais gráficos.",1,7,3,11
26,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF09) 
Levantar hipóteses em relação à linguagem escrita, realizando registros de palavras e textos, por meio de escrita espontânea.",EI03EF09,"Levantar hipóteses em relação à linguagem escrita, realizando registros de palavras e textos, por meio de escrita espontânea.",4,,5,11
